country,avg_valuation
Turkey,10.0
Seychelles,6.0
South Africa,5.0
Estonia,5.0
India,4.704545454545454
United Kingdom,4.225806451612903
China,4.1453900709219855
Lithuania,4.0
Liechtenstein,4.0
Australia,4.0
Sweden,3.5714285714285716
Indonesia,3.3
Finland,3.25
United States,3.192612137203166
South Korea,3.05
Colombia,3.0
Belgium,3.0
Vietnam,2.8
Hong Kong,2.7
Germany,2.675
Denmark,2.6666666666666665
Austria,2.6666666666666665
Canada,2.642857142857143
Norway,2.6
Israel,2.5
Brazil,2.45
,2.4
The Netherlands,2.3333333333333335
Philippines,2.3333333333333335
France,2.3225806451612905
Mexico,2.111111111111111
Japan,2.066666666666667
Senegal,2.0
Malaysia,2.0
Luxembourg,2.0
Greece,2.0
Ecuador,2.0
Croatia,2.0
Cayman Islands,2.0
Bermuda,2.0
Argentina,2.0
Switzerland,1.875
Singapore,1.7
Thailand,1.6666666666666667
Italy,1.6666666666666667
Ireland,1.6666666666666667
United Arab Emirates,1.5
Nigeria,1.5
Chile,1.3333333333333333
Spain,1.2
Uzbekistan,1.0
Taiwan,1.0
Saudi Arabia,1.0
Portugal,1.0
Poland,1.0
Malta,1.0
Egypt,1.0
Czech Republic,1.0
