country,total_valuation
United States,2420.0
China,1169.0
India,414.0
United Kingdom,262.0
Germany,107.0
Canada,74.0
France,72.0
South Korea,61.0
Israel,60.0
Brazil,49.0
Australia,48.0
Singapore,34.0
Indonesia,33.0
Japan,31.0
Hong Kong,27.0
Sweden,25.0
,24.0
The Netherlands,21.0
Turkey,20.0
Mexico,19.0
Switzerland,15.0
Ireland,15.0
Vietnam,14.0
Norway,13.0
Finland,13.0
Seychelles,12.0
Estonia,10.0
Belgium,9.0
Lithuania,8.0
Denmark,8.0
Austria,8.0
Philippines,7.0
United Arab Emirates,6.0
Spain,6.0
Colombia,6.0
Thailand,5.0
South Africa,5.0
Italy,5.0
Liechtenstein,4.0
Chile,4.0
Cayman Islands,4.0
Nigeria,3.0
Senegal,2.0
Saudi Arabia,2.0
Malaysia,2.0
Luxembourg,2.0
Greece,2.0
Ecuador,2.0
Croatia,2.0
Bermuda,2.0
Argentina,2.0
Uzbekistan,1.0
Taiwan,1.0
Portugal,1.0
Poland,1.0
Malta,1.0
Egypt,1.0
Czech Republic,1.0
