country,unicorn_count
United States,758
China,282
India,88
United Kingdom,62
Germany,40
France,31
Canada,28
Israel,24
South Korea,20
Singapore,20
Brazil,20
Japan,15
Australia,12
Indonesia,10
Hong Kong,10
,10
The Netherlands,9
Mexico,9
Ireland,9
Switzerland,8
Sweden,7
Vietnam,5
Spain,5
Norway,5
United Arab Emirates,4
Finland,4
Thailand,3
Philippines,3
Italy,3
Denmark,3
Chile,3
Belgium,3
Austria,3
Turkey,2
Seychelles,2
Saudi Arabia,2
Nigeria,2
Lithuania,2
Estonia,2
Colombia,2
Cayman Islands,2
Uzbekistan,1
Taiwan,1
South Africa,1
Senegal,1
Portugal,1
Poland,1
Malta,1
Malaysia,1
Luxembourg,1
Liechtenstein,1
Greece,1
Egypt,1
Ecuador,1
Czech Republic,1
Croatia,1
Bermuda,1
Argentina,1
